"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 21 17:30:01 GMT 2026","Thu May 21 17:30:01 GMT 2026","6","tests.ai_edited_test.transformers","test_ai_ernie4_5_moe_config","TestErnie4_5_MoeConfig","","","test_to_json_string",""
"passed","Thu May 21 17:29:57 GMT 2026","Thu May 21 17:29:57 GMT 2026","3","tests.ai_edited_test.nn","test_ai_moe_alltoall_layer","TestMOEAlltoAllLayerCombineExpertOutput","","","test_combine_expert_output_with_postprocess","Test combine_expert_output with output_postprocess set."
"passed","Thu May 21 17:18:29 GMT 2026","Thu May 21 17:18:30 GMT 2026","405","tests.transformers.llama","test_modeling","LlamaCompatibilityTest","","","test_llama_converter",""
"passed","Thu May 21 17:29:57 GMT 2026","Thu May 21 17:29:57 GMT 2026","0","tests.ai_edited_test.nn","test_ai_moe_alltoall_layer","TestGateCombineImport","","","test_import_gate_combine","Test that GateCombine class can be imported."
"passed","Thu May 21 17:07:40 GMT 2026","Thu May 21 17:07:40 GMT 2026","1","tests.dataset","test_convertor","TestErniekitConvertor","","","test_convert_dpo",""
"passed","Thu May 21 17:30:03 GMT 2026","Thu May 21 17:30:03 GMT 2026","0","tests.ai_edited_test.utils","test_ai_type_validators","TestTypeValidators","","","test_image_size_validator_invalid_dict",""
"passed","Thu May 21 17:20:03 GMT 2026","Thu May 21 17:20:04 GMT 2026","263","tests.transformers.qwen2_5_vl","test_modeling","Qwen2_5_VLModelTest","","","test_determinism",""
"passed","Thu May 21 17:12:36 GMT 2026","Thu May 21 17:12:36 GMT 2026","845","tests.transformers.ernie4_5_moe_vl","test_tokenizer","Ernie4_5_VL_TokenizationTest","","","test_slow_tokenizer_from_pretrained",""
"passed","Thu May 21 17:30:03 GMT 2026","Thu May 21 17:30:03 GMT 2026","2","tests.ai_edited_test.utils","test_ai_optimizer","TestAdamWCustomAdamwCustom","","","test_no_decay_sets_coeff_zero",""
"passed","Thu May 21 17:29:47 GMT 2026","Thu May 21 17:29:47 GMT 2026","0","tests.ai_edited_test.cli","test_ai_export_args","TestExportArguments","","","test_copy_tokenizer_explicit_true","Test explicitly setting copy_tokenizer to True."
"passed","Thu May 21 17:30:00 GMT 2026","Thu May 21 17:30:00 GMT 2026","1","tests.ai_edited_test.trainer","test_ai_timer","TestTimers","","","test_info",""
"passed","Thu May 21 17:29:59 GMT 2026","Thu May 21 17:29:59 GMT 2026","1","tests.ai_edited_test.quantization","test_ai_qat_utils","TestQuantize","","","test_quantize_with_activation_scale","Test quantization with pre-computed activation scale."
